epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1436.1,0.35598,0.52584,1.04008,0.97811,0.98565,0.99383,0.98398,0.1849,0.26677,0.89859,0.000494885,0.000494885,0.000494885
43,1471.61,0.36271,0.52854,1.03168,0.95488,0.96743,0.99477,0.97983,0.209,0.31865,0.89438,0.000486639,0.000486639,0.000486639
44,1506.03,0.34762,0.48031,1.0297,0.92518,0.96624,0.98708,0.97335,0.2011,0.36868,0.89743,0.000478392,0.000478392,0.000478392
45,1541.53,0.3553,0.50446,1.03197,0.9963,0.97912,0.99352,0.98301,0.19269,0.24471,0.89046,0.000470145,0.000470145,0.000470145
46,1576.27,0.35446,0.50418,1.03272,0.94541,0.97545,0.99313,0.98328,0.19989,0.32855,0.89078,0.000461898,0.000461898,0.000461898
47,1611.92,0.37131,0.49489,1.03717,0.79019,0.90509,0.95376,0.94043,0.2045,0.54556,0.89387,0.000453652,0.000453652,0.000453652
48,1647.2,0.34985,0.50538,1.03231,0.98804,0.98042,0.99251,0.98405,0.21033,0.26027,0.88423,0.000445405,0.000445405,0.000445405
49,1682.49,0.33969,0.50305,1.02286,0.97611,0.97355,0.9917,0.98371,0.18239,0.27132,0.86645,0.000437158,0.000437158,0.000437158
50,1717.82,0.34013,0.46472,1.02138,0.9866,0.99152,0.99494,0.98177,0.20806,0.25479,0.89375,0.000428912,0.000428912,0.000428912
51,1754.28,0.33812,0.45797,1.01764,0.95154,0.95512,0.99323,0.98367,0.18246,0.32043,0.87575,0.000420665,0.000420665,0.000420665
52,1790.02,0.34128,0.46683,1.01622,0.88566,0.92705,0.98901,0.97215,0.22471,0.4445,0.89193,0.000412418,0.000412418,0.000412418
53,1825.64,0.35901,0.49065,1.02572,0.95877,0.9675,0.99274,0.98467,0.19684,0.29885,0.87104,0.000404172,0.000404172,0.000404172
54,1860.38,0.35613,0.47112,1.02608,0.97819,0.9872,0.99368,0.98314,0.18074,0.23124,0.86941,0.000395925,0.000395925,0.000395925
55,1894.85,0.3468,0.44656,1.02626,0.96022,0.98329,0.99237,0.98168,0.20045,0.29067,0.87468,0.000387678,0.000387678,0.000387678
56,1930.18,0.34239,0.45923,1.02242,0.99042,0.99319,0.99488,0.98365,0.18915,0.21624,0.86276,0.000379431,0.000379431,0.000379431
57,1964.68,0.32836,0.4541,1.00782,0.94104,0.94853,0.99252,0.98366,0.19522,0.32443,0.88073,0.000371185,0.000371185,0.000371185
58,2000.68,0.32962,0.44402,1.01792,0.98663,0.98662,0.99467,0.9855,0.16925,0.2209,0.8599,0.000362938,0.000362938,0.000362938
59,2036.73,0.32025,0.41625,1.01061,0.98881,0.99182,0.99411,0.98269,0.18089,0.23161,0.86103,0.000354691,0.000354691,0.000354691
60,2073.28,0.32446,0.4153,1.00528,0.97836,0.98625,0.99473,0.98842,0.17303,0.21816,0.85114,0.000346445,0.000346445,0.000346445
61,2109.28,0.31503,0.38905,1.00406,0.96724,0.98319,0.9934,0.98539,0.17203,0.24291,0.85665,0.000338198,0.000338198,0.000338198
62,2146.05,0.31104,0.40948,0.99592,0.96564,0.9947,0.99451,0.98934,0.16047,0.21328,0.84728,0.000329951,0.000329951,0.000329951
63,2182.54,0.31852,0.42718,1.0063,0.98969,0.99543,0.99447,0.98411,0.18075,0.19451,0.86736,0.000321705,0.000321705,0.000321705
64,2218.57,0.31476,0.42374,1.0052,0.97703,0.99197,0.99479,0.98316,0.19195,0.21674,0.88655,0.000313458,0.000313458,0.000313458
65,2260.77,0.3154,0.3934,0.9982,0.99431,0.99687,0.99494,0.98632,0.17374,0.19399,0.8581,0.000305211,0.000305211,0.000305211
66,2296.58,0.32303,0.40893,1.00403,0.99174,0.9972,0.99494,0.98628,0.17415,0.19684,0.85338,0.000296964,0.000296964,0.000296964
67,2332.2,0.31455,0.38836,1.0054,0.99415,0.99296,0.99494,0.98712,0.1641,0.18651,0.8397,0.000288718,0.000288718,0.000288718
68,2368.36,0.30419,0.39872,0.99472,0.99622,0.9919,0.995,0.98847,0.16084,0.19025,0.84311,0.000280471,0.000280471,0.000280471
69,2404.49,0.30302,0.37726,0.993,0.96788,0.94873,0.99449,0.9878,0.16076,0.25734,0.85693,0.000272224,0.000272224,0.000272224
70,2440.53,0.30587,0.38079,1.00374,0.98438,0.99375,0.99443,0.98901,0.15833,0.20497,0.83724,0.000263978,0.000263978,0.000263978
71,2476.09,0.2974,0.3811,0.99676,0.98661,0.99386,0.99454,0.98726,0.16215,0.18899,0.84254,0.000255731,0.000255731,0.000255731
72,2512.45,0.30845,0.38513,1.00294,0.97591,0.97638,0.99419,0.99053,0.16697,0.22896,0.84157,0.000247484,0.000247484,0.000247484
73,2549.58,0.29694,0.37761,0.99668,0.99528,0.99196,0.995,0.9883,0.15966,0.17594,0.83823,0.000239238,0.000239238,0.000239238
74,2585.2,0.29986,0.35632,1.00568,0.99158,0.99208,0.99463,0.98682,0.16697,0.17702,0.84751,0.000230991,0.000230991,0.000230991
75,2621.03,0.28847,0.36818,0.99252,0.9902,0.99215,0.99485,0.98763,0.16387,0.18624,0.84116,0.000222744,0.000222744,0.000222744
76,2657.26,0.28559,0.34345,0.98472,0.99002,0.96546,0.99494,0.98999,0.15799,0.21479,0.83624,0.000214497,0.000214497,0.000214497
77,2693.71,0.27877,0.33818,0.98297,0.98751,0.99169,0.9947,0.98926,0.15558,0.18372,0.83001,0.000206251,0.000206251,0.000206251
78,2729.58,0.2846,0.34041,0.98996,0.98946,0.99577,0.99494,0.98882,0.15281,0.1739,0.84173,0.000198004,0.000198004,0.000198004
79,2765.65,0.2744,0.33863,0.98936,0.9949,0.99851,0.995,0.99062,0.14448,0.15737,0.83243,0.000189757,0.000189757,0.000189757
80,2801.93,0.27917,0.33911,0.98596,0.98978,0.99385,0.995,0.99002,0.15317,0.17142,0.83284,0.000181511,0.000181511,0.000181511
81,2838.08,0.27753,0.33931,0.98131,0.97293,0.99161,0.99494,0.99037,0.16664,0.23227,0.84276,0.000173264,0.000173264,0.000173264
82,2873.17,0.27881,0.35033,0.98555,0.99025,0.99391,0.995,0.9896,0.15251,0.17086,0.83362,0.000165017,0.000165017,0.000165017
83,2908.22,0.27607,0.35378,0.98751,0.97628,0.98959,0.99454,0.99032,0.14361,0.20476,0.82754,0.000156771,0.000156771,0.000156771
84,2943.15,0.27539,0.34993,0.9882,0.99626,0.99464,0.99494,0.99164,0.14011,0.15583,0.82619,0.000148524,0.000148524,0.000148524
85,2978.45,0.2669,0.32673,0.98226,0.99511,0.99912,0.995,0.99186,0.14058,0.15235,0.82394,0.000140277,0.000140277,0.000140277
86,3013.67,0.27158,0.32566,0.98915,0.9768,0.98449,0.99465,0.98818,0.15529,0.20586,0.84867,0.000132031,0.000132031,0.000132031
87,3048.71,0.27085,0.31644,0.97605,0.99068,0.99436,0.995,0.99105,0.15123,0.16468,0.82902,0.000123784,0.000123784,0.000123784
88,3084.43,0.27363,0.3234,0.98715,0.99745,0.99522,0.995,0.98931,0.1479,0.15854,0.83173,0.000115537,0.000115537,0.000115537
